-52,-11,66
-56,-6,64
-52,-6,54
-48,-8,53
-42,-9,50
-42,-6,46
-34,-3,43
-27,-2,40
-26,-3,39
-24,-5,39
-24,-5,40
-29,-5,45
-28,-3,48
-31,-4,53
-29,-4,62
-30,-1,65
-32,0,68
-31,1,72
-28,2,75
-34,7,73
-31,8,64
-28,3,59
-28,3,58
-28,2,51
-28,0,48
-23,-4,43
-21,-5,42
-23,-9,41
-23,-12,45
-23,-12,47
-24,-11,50
-24,-10,52
-28,-11,54
-30,-10,57
-35,-8,61
-35,-10,64
-39,-12,64
-50,-12,71
-55,-4,72
-49,-3,61
-43,-5,59
-38,-7,56
-40,-7,47
-36,-5,45
-27,-4,42
-25,-4,39
-25,-6,36
-27,-7,37
-30,-10,42
-32,-10,47
-34,-11,48
-36,-14,52
-39,-13,54
-45,-9,57
-42,-10,62
-42,-7,69
-45,3,65
-37,3,60
-33,0,57
-32,1,58
-34,2,52
-30,-2,45
-23,-4,43
-25,-7,40
-26,-10,40
-30,-14,42
-29,-15,44
-24,-14,50
-26,-11,51
-26,-10,53
-26,-10,61
-30,-8,63
-32,-7,62
-35,-12,60
-41,-16,61
-46,-11,64
-47,-7,58
-44,-10,54
-43,-10,56
-42,-10,48
-35,-8,45
-23,-5,42
-21,-4,40
-26,-4,39
-31,-8,39
-31,-10,42
-35,-9,50
-37,-7,54
-42,-7,56
-43,-7,58
-44,0,64
-40,1,65
-41,1,66
-43,0,66
-49,1,62
-30,9,60
-24,9,59
-31,6,56
-27,5,49
-22,3,45
-24,1,41
-23,-1,43
-24,-5,44
-23,-7,45
-25,-13,46
-32,-15,49
-35,-15,49
-35,-17,48
-36,-14,51
-41,-7,60
-43,-3,61
-39,-8,63
-54,-10,65
-63,-5,64
-52,-1,59
-47,-5,56
-42,-9,55
-35,-8,55
-28,-3,41
-26,-2,38
-22,-1,38
-22,-2,38
-22,-3,38
-25,-4,44
-23,-3,48
-26,0,55
-29,0,62
-36,1,64
-43,4,68
-40,4,71
-42,5,79
-44,10,77
-37,9,70
-32,5,58
-33,3,55
-33,4,48
-25,4,44
-16,2,40
-17,-2,40
-19,-5,39
-20,-9,40
-21,-10,43
-20,-11,50
-23,-12,54
-26,-13,56
-31,-10,58
-34,-6,60
-35,-5,61
-38,-9,62
-43,-14,66
-48,-11,66
-48,-3,64
-48,-8,62
-50,-8,60
-45,-3,54
-35,-1,51
-21,-1,46
-18,-4,39
-17,-5,39
-21,-7,43
-24,-9,46
-29,-7,50
-29,-6,52
-26,-10,55
-27,-10,55
-32,-7,58
-37,-4,64
-38,-4,69
-39,-4,71
-39,3,70
-33,3,61
-28,1,59
-27,2,57
-27,3,52
-25,1,48
-18,-2,45
-16,-4,44
-24,-5,45
-23,-6,47
-21,-9,51
-22,-7,54
-21,-6,55
-21,-7,59
-21,-7,61
-24,-3,63
-27,-5,63
-35,-16,60
-45,-14,71
-48,-8,71
-48,-4,59
-44,-4,59
-39,-5,60
-38,-3,56
-28,-2,47
-19,-4,41
-15,-4,41
-22,-5,41
-28,-4,41
-26,-6,49
-26,-6,53
-24,-6,56
-27,-6,58
-29,-5,62
-34,0,67
-27,0,66
-28,-1,66
-23,2,71
-27,1,72
-32,4,69
-31,6,64
-24,6,55
-25,5,53
-26,5,53
-26,2,52
-26,-1,50
-26,-3,48
-24,-2,48
-24,-8,45
-20,-7,46
-20,-10,48
-20,-6,52
-26,-1,56
-24,-1,61
-23,-2,61
-28,-2,62
-27,1,64
-30,-1,62
-32,-7,58
-30,-12,60
-41,-2,67
-46,6,66
-39,5,71
-45,1,67
-44,4,52
-30,-6,51
-26,4,49
-29,1,40
-30,1,39
-30,-3,40
-30,-5,40
-32,-8,43
-33,-8,45
-36,-8,49
-39,-10,50
-38,-10,52
-42,-8,56
-44,-5,57
-41,-3,59
-43,-1,59
-39,-3,59
-45,6,63
-46,13,63
-32,15,55
-22,9,49
-22,8,48
-26,8,48
-34,9,47
-35,3,43
-34,0,41
-37,-2,41
-37,-4,43
-35,-7,46
-43,-4,45
-42,-3,46
-39,-2,50
-39,-3,51
-38,-5,54
-42,-3,55
-48,-1,53
-50,-2,53
-48,-4,55
-53,-5,59
-56,-1,61
-56,6,55
-49,2,51
-35,2,53
-39,10,52
-34,10,46
-24,7,39
-18,5,41
-22,9,40
-23,5,43
-22,2,38
-16,2,34
-11,3,29
-14,15,26
-31,29,35
-31,39,37
-24,41,33
-40,61,43
-32,69,48
-40,71,50
-47,76,54
-35,70,55
-27,62,56
-27,56,57
-27,43,50
-24,36,42
-21,34,40
-18,26,36
-19,24,36
-24,24,34
-23,23,33
-27,31,35
-30,40,41
-31,44,42
-35,50,44
-36,54,43
-34,56,41
-34,56,38
-31,52,42
-50,55,53
-59,60,61
-40,45,57
-35,32,48
-38,18,48
-41,16,49
-31,12,44
-23,7,38
-21,4,32
-27,3,29
-28,3,30
-32,-1,28
-34,-3,30
-37,0,40
-30,5,50
-29,7,53
-27,6,56
-29,1,57
-65,25,82
-58,34,88
-32,32,81
-41,27,74
-43,24,65
-25,17,57
-19,14,52
-14,10,40
-15,9,36
-17,7,36
-26,8,37
-29,6,39
-33,6,44
-34,7,44
-33,8,41
-34,9,41
-33,12,45
-37,13,48
-44,14,50
-47,10,59
-55,3,63
-74,14,75
-76,24,75
-59,13,58
-40,4,55
-36,4,55
-37,3,43
-35,2,39
-25,-3,38
-23,-6,36
-31,-8,32
-38,-3,39
-43,0,43
-41,5,43
-34,5,40
-31,3,38
-27,1,38
-36,-3,42
-42,-3,47
-46,2,50
-43,10,58
-46,3,60
-61,18,72
-60,33,78
-55,21,67
-41,21,72
-39,23,69
-36,19,54
-32,17,49
-23,11,42
-20,9,37
-20,6,30
-22,6,31
-23,6,32
-28,8,34
-32,8,36
-35,11,39
-40,15,42
-44,20,49
-52,16,51
-60,6,55
-75,14,67
-76,28,66
-54,12,52
-44,4,49
-27,-5,43
-34,-1,39
-35,3,40
-25,5,39
-22,4,36
-22,4,32
-25,8,33
-34,14,36
-44,23,47
-45,30,50
-52,30,51
-45,30,52
-37,48,62
-44,46,61
-49,45,57
-55,58,62
-52,59,62
-40,39,48
-34,28,42
-24,18,37
-30,19,33
-31,18,33
-36,20,34
-38,23,34
-39,25,34
-48,27,35
-48,29,40
-58,22,55
-65,22,62
-67,25,60
-59,22,56
-44,16,53
-40,15,53
-21,15,53
-10,11,39
-5,13,45
-9,12,37
-9,16,35
-20,4,27
-27,6,28
-30,13,47
-8,12,51
-4,12,53
-29,21,45
-24,18,39
-10,28,31
-13,43,23
-38,71,33
-28,77,28
-22,78,26
-42,86,38
-47,83,51
-29,52,36
-32,44,36
-32,32,41
-31,35,40
-29,33,37
-30,38,32
-31,49,30
-30,95,32
-30,127,34
-30,127,15
-17,117,2
-13,111,2
-13,88,9
-14,73,16
-19,47,27
-21,38,25
-17,28,15
-10,22,12
-8,21,11
-3,21,13
0,26,13
4,41,10
6,50,5
3,76,-6
-46,113,-13
-44,102,-9
-22,93,12
-19,103,21
