datatime,acc_x,acc_y,acc_z
2021-11-08 23:26:01.406250-05:00,-17,-95,9
2021-11-08 23:26:01.437500-05:00,-14,-128,4
2021-11-08 23:26:01.468750-05:00,-15,-128,-11
2021-11-08 23:26:01.500000-05:00,-7,-128,-21
2021-11-08 23:26:01.531250-05:00,2,-119,-6
2021-11-08 23:26:01.562500-05:00,1,-104,4
2021-11-08 23:26:01.593750-05:00,-9,-90,-2
2021-11-08 23:26:01.625000-05:00,-21,-72,-16
2021-11-08 23:26:01.656250-05:00,-26,-68,-19
2021-11-08 23:26:01.687500-05:00,-22,-56,-16
2021-11-08 23:26:01.718750-05:00,-15,-50,-12
2021-11-08 23:26:01.750000-05:00,-5,-40,-7
2021-11-08 23:26:01.781250-05:00,7,-27,-5
2021-11-08 23:26:01.812500-05:00,9,-23,-5
2021-11-08 23:26:01.843750-05:00,6,-16,-7
2021-11-08 23:26:01.875000-05:00,1,-13,-7
2021-11-08 23:26:01.906250-05:00,-4,-12,-5
2021-11-08 23:26:01.937500-05:00,-6,-16,-3
2021-11-08 23:26:01.968750-05:00,-5,-32,-3
2021-11-08 23:26:02-05:00,-18,-80,4
2021-11-08 23:26:02.031250-05:00,-18,-107,12
2021-11-08 23:26:02.062500-05:00,-14,-128,9
2021-11-08 23:26:02.093750-05:00,-9,-128,6
2021-11-08 23:26:02.125000-05:00,-23,-128,-3
2021-11-08 23:26:02.156250-05:00,-23,-114,-4
2021-11-08 23:26:02.187500-05:00,-28,-67,1
2021-11-08 23:26:02.218750-05:00,0,-52,4
2021-11-08 23:26:02.250000-05:00,-2,-49,0
2021-11-08 23:26:02.281250-05:00,-1,-39,2
2021-11-08 23:26:02.312500-05:00,-1,-39,7
2021-11-08 23:26:02.343750-05:00,-9,-46,27
2021-11-08 23:26:02.375000-05:00,-15,-48,34
2021-11-08 23:26:02.406250-05:00,-26,-39,29
2021-11-08 23:26:02.437500-05:00,-17,-33,14
2021-11-08 23:26:02.468750-05:00,-16,-43,9
2021-11-08 23:26:02.500000-05:00,-16,-90,14
2021-11-08 23:26:02.531250-05:00,-19,-128,11
2021-11-08 23:26:02.562500-05:00,-25,-125,-24
2021-11-08 23:26:02.593750-05:00,-25,-105,-25
2021-11-08 23:26:02.625000-05:00,8,-113,9
2021-11-08 23:26:02.656250-05:00,6,-89,12
2021-11-08 23:26:02.687500-05:00,-3,-76,4
2021-11-08 23:26:02.718750-05:00,-14,-72,-13
2021-11-08 23:26:02.750000-05:00,-23,-74,-18
2021-11-08 23:26:02.781250-05:00,-31,-74,-16
2021-11-08 23:26:02.812500-05:00,-23,-66,-11
2021-11-08 23:26:02.843750-05:00,-5,-64,-1
2021-11-08 23:26:02.875000-05:00,14,-57,5
2021-11-08 23:26:02.906250-05:00,19,-49,4
2021-11-08 23:26:02.937500-05:00,24,-38,1
2021-11-08 23:26:02.968750-05:00,16,-40,-2
2021-11-08 23:26:03-05:00,-10,-64,-3
2021-11-08 23:26:03.031250-05:00,-24,-72,7
2021-11-08 23:26:03.062500-05:00,-30,-79,21
2021-11-08 23:26:03.093750-05:00,-16,-81,10
2021-11-08 23:26:03.125000-05:00,-32,-87,-7
2021-11-08 23:26:03.156250-05:00,-64,-73,-25
2021-11-08 23:26:03.187500-05:00,-62,-61,-23
2021-11-08 23:26:03.218750-05:00,-53,-44,-15
2021-11-08 23:26:03.250000-05:00,-47,-36,-13
2021-11-08 23:26:03.281250-05:00,-52,-30,-20
2021-11-08 23:26:03.312500-05:00,-50,-26,-24
2021-11-08 23:26:03.343750-05:00,-53,-19,-20
2021-11-08 23:26:03.375000-05:00,-46,-37,-17
2021-11-08 23:26:03.406250-05:00,-51,-63,-21
2021-11-08 23:26:03.437500-05:00,-60,-128,-40
2021-11-08 23:26:03.468750-05:00,-69,-128,-32
2021-11-08 23:26:03.500000-05:00,-46,-127,-14
2021-11-08 23:26:03.531250-05:00,-35,-121,-4
2021-11-08 23:26:03.562500-05:00,-34,-116,-9
2021-11-08 23:26:03.593750-05:00,-33,-84,-14
2021-11-08 23:26:03.625000-05:00,-31,-64,-10
2021-11-08 23:26:03.656250-05:00,-25,-28,5
2021-11-08 23:26:03.687500-05:00,-11,-13,9
2021-11-08 23:26:03.718750-05:00,19,6,6
2021-11-08 23:26:03.750000-05:00,3,3,1
2021-11-08 23:26:03.781250-05:00,-1,-2,4
2021-11-08 23:26:03.812500-05:00,-1,-6,10
2021-11-08 23:26:03.843750-05:00,-4,-10,10
2021-11-08 23:26:03.875000-05:00,-3,-14,15
2021-11-08 23:26:03.906250-05:00,14,-13,23
2021-11-08 23:26:03.937500-05:00,-16,-38,16
2021-11-08 23:26:03.968750-05:00,-44,-128,55
2021-11-08 23:26:04-05:00,-62,-128,60
2021-11-08 23:26:04.031250-05:00,-33,-128,39
2021-11-08 23:26:04.062500-05:00,-35,-128,25
2021-11-08 23:26:04.093750-05:00,-40,-108,12
2021-11-08 23:26:04.125000-05:00,-35,-95,5
2021-11-08 23:26:04.156250-05:00,-24,-66,-8
2021-11-08 23:26:04.187500-05:00,-24,-43,-11
2021-11-08 23:26:04.218750-05:00,-19,-37,-16
2021-11-08 23:26:04.250000-05:00,-15,-40,-28
2021-11-08 23:26:04.281250-05:00,-24,-46,-27
2021-11-08 23:26:04.312500-05:00,-33,-52,-18
