datatime,acc_x,acc_y,acc_z,label
2021-10-27 15:42:54.593750+00:00,5,-11,61,sitting
2021-10-27 15:42:54.625000+00:00,6,-13,66,sitting
2021-10-27 15:42:54.656250+00:00,7,-14,69,sitting
2021-10-27 15:42:54.687500+00:00,8,-16,70,sitting
2021-10-27 15:42:54.718750+00:00,7,-16,68,sitting
2021-10-27 15:42:54.750000+00:00,7,-17,66,sitting
2021-10-27 15:42:54.781250+00:00,6,-16,67,sitting
2021-10-27 15:42:54.812500+00:00,5,-15,66,sitting
2021-10-27 15:42:54.843750+00:00,7,-15,67,sitting
2021-10-27 15:42:54.875000+00:00,6,-15,66,sitting
2021-10-27 15:42:54.906250+00:00,7,-14,62,sitting
2021-10-27 15:42:54.937500+00:00,7,-14,62,sitting
2021-10-27 15:42:54.968750+00:00,6,-15,60,sitting
2021-10-27 15:42:55+00:00,5,-13,58,sitting
2021-10-27 15:42:55.031250+00:00,5,-13,58,sitting
2021-10-27 15:42:55.062500+00:00,5,-14,57,sitting
2021-10-27 15:42:55.093750+00:00,6,-13,56,sitting
2021-10-27 15:42:55.125000+00:00,4,-13,58,sitting
2021-10-27 15:42:55.156250+00:00,7,-14,56,sitting
2021-10-27 15:42:55.187500+00:00,5,-13,56,sitting
2021-10-27 15:42:55.218750+00:00,7,-14,57,sitting
2021-10-27 15:42:55.250000+00:00,7,-14,57,sitting
2021-10-27 15:42:55.281250+00:00,6,-13,59,sitting
2021-10-27 15:42:55.312500+00:00,8,-13,60,sitting
2021-10-27 15:42:55.343750+00:00,8,-14,59,sitting
2021-10-27 15:42:55.375000+00:00,8,-13,60,sitting
2021-10-27 15:42:55.406250+00:00,8,-14,60,sitting
2021-10-27 15:42:55.437500+00:00,8,-13,59,sitting
2021-10-27 15:42:55.468750+00:00,8,-14,60,sitting
2021-10-27 15:42:55.500000+00:00,8,-14,59,sitting
2021-10-27 15:42:55.531250+00:00,8,-13,59,sitting
2021-10-27 15:42:55.562500+00:00,8,-13,60,sitting
2021-10-27 15:42:55.593750+00:00,8,-13,60,sitting
2021-10-27 15:42:55.625000+00:00,7,-12,59,sitting
2021-10-27 15:42:55.656250+00:00,7,-12,59,sitting
2021-10-27 15:42:55.687500+00:00,8,-13,59,sitting
2021-10-27 15:42:55.718750+00:00,7,-12,59,sitting
