datatime,acc_x,acc_y,acc_z,label,subject_id
2021-10-27 16:13:13.937500+00:00,-13,4,67,downstairs,2
2021-10-27 16:13:13.968750+00:00,-13,5,59,downstairs,2
2021-10-27 16:13:14+00:00,-10,5,56,downstairs,2
2021-10-27 16:13:14.031250+00:00,-7,6,51,downstairs,2
2021-10-27 16:13:14.062500+00:00,-8,6,49,downstairs,2
2021-10-27 16:13:14.093750+00:00,-7,5,47,downstairs,2
2021-10-27 16:13:14.125000+00:00,-4,3,47,downstairs,2
2021-10-27 16:13:14.156250+00:00,-5,2,49,downstairs,2
2021-10-27 16:13:14.187500+00:00,-5,-1,54,downstairs,2
2021-10-27 16:13:14.218750+00:00,-6,-2,56,downstairs,2
2021-10-27 16:13:14.250000+00:00,-9,-3,60,downstairs,2
2021-10-27 16:13:14.281250+00:00,-10,-4,63,downstairs,2
2021-10-27 16:13:14.312500+00:00,-12,2,73,downstairs,2
2021-10-27 16:13:14.343750+00:00,-13,6,75,downstairs,2
2021-10-27 16:13:14.375000+00:00,-13,4,75,downstairs,2
2021-10-27 16:13:14.406250+00:00,-14,7,82,downstairs,2
2021-10-27 16:13:14.437500+00:00,-18,10,82,downstairs,2
2021-10-27 16:13:14.468750+00:00,-13,16,73,downstairs,2
2021-10-27 16:13:14.500000+00:00,-10,14,64,downstairs,2
2021-10-27 16:13:14.531250+00:00,-10,8,57,downstairs,2
2021-10-27 16:13:14.562500+00:00,-10,10,60,downstairs,2
2021-10-27 16:13:14.593750+00:00,-8,11,57,downstairs,2
2021-10-27 16:13:14.625000+00:00,-7,8,50,downstairs,2
2021-10-27 16:13:14.656250+00:00,-7,6,51,downstairs,2
2021-10-27 16:13:14.687500+00:00,-6,3,52,downstairs,2
2021-10-27 16:13:14.718750+00:00,-6,1,50,downstairs,2
2021-10-27 16:13:14.750000+00:00,-5,-2,50,downstairs,2
2021-10-27 16:13:14.781250+00:00,-5,-4,54,downstairs,2
2021-10-27 16:13:14.812500+00:00,-5,-4,56,downstairs,2
2021-10-27 16:13:14.843750+00:00,-6,-5,59,downstairs,2
2021-10-27 16:13:14.875000+00:00,-5,-5,60,downstairs,2
2021-10-27 16:13:14.906250+00:00,-6,-6,64,downstairs,2
2021-10-27 16:13:14.937500+00:00,-7,-4,67,downstairs,2
2021-10-27 16:13:14.968750+00:00,-7,-1,69,downstairs,2
2021-10-27 16:13:15+00:00,-9,-6,68,downstairs,2
2021-10-27 16:13:15.031250+00:00,-13,-8,71,downstairs,2
2021-10-27 16:13:15.062500+00:00,-21,-9,78,downstairs,2
2021-10-27 16:13:15.093750+00:00,-25,-4,82,downstairs,2
2021-10-27 16:13:15.125000+00:00,-27,1,73,downstairs,2
2021-10-27 16:13:15.156250+00:00,-25,-1,67,downstairs,2
2021-10-27 16:13:15.187500+00:00,-21,-3,62,downstairs,2
2021-10-27 16:13:15.218750+00:00,-18,-2,55,downstairs,2
2021-10-27 16:13:15.250000+00:00,-15,-1,53,downstairs,2
2021-10-27 16:13:15.281250+00:00,-12,0,51,downstairs,2
2021-10-27 16:13:15.312500+00:00,-10,0,49,downstairs,2
