datetime,acc_x,acc_y,acc_z,subject_id,round,type,label
2021-12-08 14:50:16.500000+00:00,-13,127,-26,3,1,InMotion,downstairs
2021-12-08 14:50:16.531250+00:00,-24,98,-10,3,1,InMotion,downstairs
2021-12-08 14:50:16.562500+00:00,-15,73,-7,3,1,InMotion,downstairs
2021-12-08 14:50:16.593750+00:00,-13,64,-6,3,1,InMotion,downstairs
2021-12-08 14:50:16.625000+00:00,-16,50,-4,3,1,InMotion,downstairs
2021-12-08 14:50:16.656250+00:00,-17,45,-2,3,1,InMotion,downstairs
2021-12-08 14:50:16.687500+00:00,-26,42,-4,3,1,InMotion,downstairs
2021-12-08 14:50:16.718750+00:00,27,48,52,3,1,InMotion,downstairs
2021-12-08 14:50:16.750000+00:00,-1,28,24,3,1,InMotion,downstairs
2021-12-08 14:50:16.781250+00:00,-5,27,12,3,1,InMotion,downstairs
2021-12-08 14:50:16.812500+00:00,-7,29,9,3,1,InMotion,downstairs
2021-12-08 14:50:16.843750+00:00,-10,32,-5,3,1,InMotion,downstairs
2021-12-08 14:50:16.875000+00:00,-2,45,-10,3,1,InMotion,downstairs
2021-12-08 14:50:16.906250+00:00,-5,121,-30,3,1,InMotion,downstairs
2021-12-08 14:50:16.937500+00:00,-20,127,-38,3,1,InMotion,downstairs
2021-12-08 14:50:16.968750+00:00,-43,127,-18,3,1,InMotion,downstairs
2021-12-08 14:50:17+00:00,-26,93,14,3,1,InMotion,downstairs
2021-12-08 14:50:17.031250+00:00,-18,77,9,3,1,InMotion,downstairs
2021-12-08 14:50:17.062500+00:00,-10,71,2,3,1,InMotion,downstairs
2021-12-08 14:50:17.093750+00:00,-21,66,0,3,1,InMotion,downstairs
2021-12-08 14:50:17.125000+00:00,24,47,37,3,1,InMotion,downstairs
2021-12-08 14:50:17.156250+00:00,-8,43,23,3,1,InMotion,downstairs
2021-12-08 14:50:17.187500+00:00,-12,23,8,3,1,InMotion,downstairs
2021-12-08 14:50:17.218750+00:00,-24,18,2,3,1,InMotion,downstairs
2021-12-08 14:50:17.250000+00:00,-21,22,4,3,1,InMotion,downstairs
2021-12-08 14:50:17.281250+00:00,-17,43,5,3,1,InMotion,downstairs
2021-12-08 14:50:17.312500+00:00,-15,57,7,3,1,InMotion,downstairs
2021-12-08 14:50:17.343750+00:00,-18,76,6,3,1,InMotion,downstairs
2021-12-08 14:50:17.375000+00:00,-16,69,3,3,1,InMotion,downstairs
2021-12-08 14:50:17.406250+00:00,-10,48,0,3,1,InMotion,downstairs
2021-12-08 14:50:17.437500+00:00,-1,55,-3,3,1,InMotion,downstairs
2021-12-08 14:50:17.468750+00:00,3,74,-8,3,1,InMotion,downstairs
2021-12-08 14:50:17.500000+00:00,-1,127,-17,3,1,InMotion,downstairs
2021-12-08 14:50:17.531250+00:00,-13,127,-21,3,1,InMotion,downstairs
2021-12-08 14:50:17.562500+00:00,-18,92,-20,3,1,InMotion,downstairs
2021-12-08 14:50:17.593750+00:00,-14,73,-10,3,1,InMotion,downstairs
2021-12-08 14:50:17.625000+00:00,-9,59,2,3,1,InMotion,downstairs
2021-12-08 14:50:17.656250+00:00,-20,51,-1,3,1,InMotion,downstairs
2021-12-08 14:50:17.687500+00:00,-23,46,-2,3,1,InMotion,downstairs
2021-12-08 14:50:17.718750+00:00,-19,35,-3,3,1,InMotion,downstairs
2021-12-08 14:50:17.750000+00:00,-15,33,-2,3,1,InMotion,downstairs
2021-12-08 14:50:17.781250+00:00,-5,32,1,3,1,InMotion,downstairs
2021-12-08 14:50:17.812500+00:00,-1,31,1,3,1,InMotion,downstairs
2021-12-08 14:50:17.843750+00:00,2,29,4,3,1,InMotion,downstairs
2021-12-08 14:50:17.875000+00:00,1,25,3,3,1,InMotion,downstairs
2021-12-08 14:50:17.906250+00:00,0,24,3,3,1,InMotion,downstairs
2021-12-08 14:50:17.937500+00:00,-16,52,-4,3,1,InMotion,downstairs
2021-12-08 14:50:17.968750+00:00,-31,95,0,3,1,InMotion,downstairs
2021-12-08 14:50:18+00:00,-39,127,-2,3,1,InMotion,downstairs
2021-12-08 14:50:18.031250+00:00,-30,126,8,3,1,InMotion,downstairs
2021-12-08 14:50:18.062500+00:00,-18,110,25,3,1,InMotion,downstairs
2021-12-08 14:50:18.093750+00:00,-17,83,16,3,1,InMotion,downstairs
2021-12-08 14:50:18.125000+00:00,-15,74,7,3,1,InMotion,downstairs
2021-12-08 14:50:18.156250+00:00,-20,53,-4,3,1,InMotion,downstairs
2021-12-08 14:50:18.187500+00:00,-15,42,-1,3,1,InMotion,downstairs
2021-12-08 14:50:18.218750+00:00,-12,30,9,3,1,InMotion,downstairs
2021-12-08 14:50:18.250000+00:00,-6,20,15,3,1,InMotion,downstairs
2021-12-08 14:50:18.281250+00:00,-7,20,13,3,1,InMotion,downstairs
2021-12-08 14:50:18.312500+00:00,-9,28,9,3,1,InMotion,downstairs
2021-12-08 14:50:18.343750+00:00,-10,37,10,3,1,InMotion,downstairs
2021-12-08 14:50:18.375000+00:00,-11,56,9,3,1,InMotion,downstairs
2021-12-08 14:50:18.406250+00:00,-12,61,5,3,1,InMotion,downstairs
2021-12-08 14:50:18.437500+00:00,-11,57,-1,3,1,InMotion,downstairs
2021-12-08 14:50:18.468750+00:00,-8,55,-3,3,1,InMotion,downstairs
2021-12-08 14:50:18.500000+00:00,-7,66,-3,3,1,InMotion,downstairs
2021-12-08 14:50:18.531250+00:00,-3,109,-10,3,1,InMotion,downstairs
2021-12-08 14:50:18.562500+00:00,-3,127,-16,3,1,InMotion,downstairs
2021-12-08 14:50:18.593750+00:00,-9,127,-22,3,1,InMotion,downstairs
2021-12-08 14:50:18.625000+00:00,-15,107,-21,3,1,InMotion,downstairs
2021-12-08 14:50:18.656250+00:00,-20,76,-12,3,1,InMotion,downstairs
2021-12-08 14:50:18.687500+00:00,-20,55,-3,3,1,InMotion,downstairs
2021-12-08 14:50:18.718750+00:00,-22,44,-2,3,1,InMotion,downstairs
2021-12-08 14:50:18.750000+00:00,-19,30,1,3,1,InMotion,downstairs
2021-12-08 14:50:18.781250+00:00,-17,28,2,3,1,InMotion,downstairs
2021-12-08 14:50:18.812500+00:00,-13,27,-1,3,1,InMotion,downstairs
2021-12-08 14:50:18.843750+00:00,-8,32,-2,3,1,InMotion,downstairs
2021-12-08 14:50:18.875000+00:00,-2,61,38,3,1,InMotion,downstairs
2021-12-08 14:50:18.906250+00:00,-37,66,14,3,1,InMotion,downstairs
2021-12-08 14:50:18.937500+00:00,-34,56,6,3,1,InMotion,downstairs
2021-12-08 14:50:18.968750+00:00,-20,41,5,3,1,InMotion,downstairs
2021-12-08 14:50:19+00:00,-16,37,10,3,1,InMotion,downstairs
2021-12-08 14:50:19.031250+00:00,-37,31,-3,3,1,InMotion,downstairs
2021-12-08 14:50:19.062500+00:00,-51,34,-12,3,1,InMotion,downstairs
2021-12-08 14:50:19.093750+00:00,-43,94,11,3,1,InMotion,downstairs
2021-12-08 14:50:19.125000+00:00,-65,127,6,3,1,InMotion,downstairs
2021-12-08 14:50:19.156250+00:00,-71,127,4,3,1,InMotion,downstairs
2021-12-08 14:50:19.187500+00:00,-50,116,8,3,1,InMotion,downstairs
2021-12-08 14:50:19.218750+00:00,-28,98,1,3,1,InMotion,downstairs
2021-12-08 14:50:19.250000+00:00,-19,74,-4,3,1,InMotion,downstairs
2021-12-08 14:50:19.281250+00:00,-20,66,-1,3,1,InMotion,downstairs
2021-12-08 14:50:19.312500+00:00,-26,46,1,3,1,InMotion,downstairs
